F,X,X,X,X,X,X,X,X,X,X,
T,F,F,X,X,X,X,X,X,X,X,
T,F,T,F,X,X,F,F,X,X,X,
T,F,T,F,X,X,F,T,F,X,X,
T,F,T,F,X,X,F,T,T,F,X,
T,F,T,F,X,X,F,T,T,T,F,
T,F,T,F,X,X,F,T,T,T,T,
T,F,T,F,X,X,T,X,X,X,X,
T,F,T,T,F,F,F,F,X,X,X,
T,F,T,T,F,F,F,T,F,X,X,
T,F,T,T,F,F,F,T,T,F,X,
T,F,T,T,F,F,F,T,T,T,F,
T,F,T,T,F,F,F,T,T,T,T,
T,F,T,T,F,F,T,X,X,X,X,
T,F,T,T,F,T,X,X,X,F,X,
T,F,T,T,F,T,X,X,X,T,F,
T,F,T,T,F,T,X,X,X,T,T,
T,F,T,T,T,X,F,F,X,X,X,
T,F,T,T,T,X,F,T,F,X,X,
T,F,T,T,T,X,F,T,T,F,X,
T,F,T,T,T,X,F,T,T,T,F,
T,F,T,T,T,X,F,T,T,T,T,
T,F,T,T,T,X,T,X,X,X,X,
T,T,X,X,X,X,X,X,X,X,X,
