F,X,X,X,X,X,X,X,X,X,X,
T,F,F,X,X,X,X,X,X,X,X,
T,F,T,F,X,F,X,F,F,X,X,
T,F,T,F,X,F,X,F,T,F,F,
T,F,T,F,X,F,X,F,T,F,T,
T,F,T,F,X,F,X,F,T,T,X,
T,F,T,F,X,F,X,T,X,X,X,
T,F,T,F,X,T,F,F,F,X,X,
T,F,T,F,X,T,F,F,T,F,F,
T,F,T,F,X,T,F,F,T,F,T,
T,F,T,F,X,T,F,F,T,T,X,
T,F,T,F,X,T,F,T,X,X,X,
T,F,T,F,X,T,T,X,X,F,F,
T,F,T,F,X,T,T,X,X,F,T,
T,F,T,F,X,T,T,X,X,T,X,
T,F,T,T,F,F,X,F,F,X,X,
T,F,T,T,F,F,X,F,T,F,F,
T,F,T,T,F,F,X,F,T,F,T,
T,F,T,T,F,F,X,F,T,T,X,
T,F,T,T,F,F,X,T,X,X,X,
T,F,T,T,F,T,F,F,F,X,X,
T,F,T,T,F,T,F,F,T,F,F,
T,F,T,T,F,T,F,F,T,F,T,
T,F,T,T,F,T,F,F,T,T,X,
T,F,T,T,F,T,F,T,X,X,X,
T,F,T,T,F,T,T,X,X,F,F,
T,F,T,T,F,T,T,X,X,F,T,
T,F,T,T,F,T,T,X,X,T,X,
T,F,T,T,T,X,X,X,X,F,F,
T,F,T,T,T,X,X,X,X,F,T,
T,F,T,T,T,X,X,X,X,T,X,
T,T,X,X,X,X,X,X,X,X,X,
