F,F,F,X,X,X,X,X,X,X,X,
F,F,T,F,X,X,X,X,X,X,X,
F,F,T,T,F,X,F,X,F,X,X,
F,F,T,T,F,X,F,X,T,F,X,
F,F,T,T,F,X,F,X,T,T,F,
F,F,T,T,F,X,F,X,T,T,T,
F,F,T,T,F,X,T,F,X,X,F,
F,F,T,T,F,X,T,F,X,X,T,
F,F,T,T,F,X,T,T,F,X,X,
F,F,T,T,F,X,T,T,T,F,X,
F,F,T,T,F,X,T,T,T,T,F,
F,F,T,T,F,X,T,T,T,T,T,
F,F,T,T,T,F,F,X,F,X,X,
F,F,T,T,T,F,F,X,T,F,X,
F,F,T,T,T,F,F,X,T,T,F,
F,F,T,T,T,F,F,X,T,T,T,
F,F,T,T,T,F,T,F,X,X,F,
F,F,T,T,T,F,T,F,X,X,T,
F,F,T,T,T,F,T,T,F,X,X,
F,F,T,T,T,F,T,T,T,F,X,
F,F,T,T,T,F,T,T,T,T,F,
F,F,T,T,T,F,T,T,T,T,T,
F,F,T,T,T,T,X,X,X,X,F,
F,F,T,T,T,T,X,X,X,X,T,
F,T,X,X,X,X,X,X,X,X,X,
T,X,X,X,X,X,X,X,X,X,X,
