F,X,X,X,X,X,X,X,X,X,X,X,X,X,
T,F,X,X,X,X,X,X,X,X,X,X,X,X,
T,T,F,X,X,X,X,X,X,X,X,X,X,X,
T,T,T,F,F,X,F,X,X,F,X,X,X,X,
T,T,T,F,F,X,F,X,X,T,F,F,X,X,
T,T,T,F,F,X,F,X,X,T,F,T,F,F,
T,T,T,F,F,X,F,X,X,T,F,T,F,T,
T,T,T,F,F,X,F,X,X,T,F,T,T,X,
T,T,T,F,F,X,F,X,X,T,T,X,X,X,
T,T,T,F,F,X,T,F,F,F,X,X,X,X,
T,T,T,F,F,X,T,F,F,T,F,F,X,X,
T,T,T,F,F,X,T,F,F,T,F,T,F,F,
T,T,T,F,F,X,T,F,F,T,F,T,F,T,
T,T,T,F,F,X,T,F,F,T,F,T,T,X,
T,T,T,F,F,X,T,F,F,T,T,X,X,X,
T,T,T,F,F,X,T,F,T,X,X,X,F,F,
T,T,T,F,F,X,T,F,T,X,X,X,F,T,
T,T,T,F,F,X,T,F,T,X,X,X,T,X,
T,T,T,F,F,X,T,T,X,F,X,X,X,X,
T,T,T,F,F,X,T,T,X,T,F,F,X,X,
T,T,T,F,F,X,T,T,X,T,F,T,F,F,
T,T,T,F,F,X,T,T,X,T,F,T,F,T,
T,T,T,F,F,X,T,T,X,T,F,T,T,X,
T,T,T,F,F,X,T,T,X,T,T,X,X,X,
T,T,T,F,T,F,F,X,X,F,X,X,X,X,
T,T,T,F,T,F,F,X,X,T,F,F,X,X,
T,T,T,F,T,F,F,X,X,T,F,T,F,F,
T,T,T,F,T,F,F,X,X,T,F,T,F,T,
T,T,T,F,T,F,F,X,X,T,F,T,T,X,
T,T,T,F,T,F,F,X,X,T,T,X,X,X,
T,T,T,F,T,F,T,F,F,F,X,X,X,X,
T,T,T,F,T,F,T,F,F,T,F,F,X,X,
T,T,T,F,T,F,T,F,F,T,F,T,F,F,
T,T,T,F,T,F,T,F,F,T,F,T,F,T,
T,T,T,F,T,F,T,F,F,T,F,T,T,X,
T,T,T,F,T,F,T,F,F,T,T,X,X,X,
T,T,T,F,T,F,T,F,T,X,X,X,F,F,
T,T,T,F,T,F,T,F,T,X,X,X,F,T,
T,T,T,F,T,F,T,F,T,X,X,X,T,X,
T,T,T,F,T,F,T,T,X,F,X,X,X,X,
T,T,T,F,T,F,T,T,X,T,F,F,X,X,
T,T,T,F,T,F,T,T,X,T,F,T,F,F,
T,T,T,F,T,F,T,T,X,T,F,T,F,T,
T,T,T,F,T,F,T,T,X,T,F,T,T,X,
T,T,T,F,T,F,T,T,X,T,T,X,X,X,
T,T,T,F,T,T,X,X,X,X,X,X,F,F,
T,T,T,F,T,T,X,X,X,X,X,X,F,T,
T,T,T,F,T,T,X,X,X,X,X,X,T,X,
T,T,T,T,X,X,F,X,X,F,X,X,X,X,
T,T,T,T,X,X,F,X,X,T,F,F,X,X,
T,T,T,T,X,X,F,X,X,T,F,T,F,F,
T,T,T,T,X,X,F,X,X,T,F,T,F,T,
T,T,T,T,X,X,F,X,X,T,F,T,T,X,
T,T,T,T,X,X,F,X,X,T,T,X,X,X,
T,T,T,T,X,X,T,F,F,F,X,X,X,X,
T,T,T,T,X,X,T,F,F,T,F,F,X,X,
T,T,T,T,X,X,T,F,F,T,F,T,F,F,
T,T,T,T,X,X,T,F,F,T,F,T,F,T,
T,T,T,T,X,X,T,F,F,T,F,T,T,X,
T,T,T,T,X,X,T,F,F,T,T,X,X,X,
T,T,T,T,X,X,T,F,T,X,X,X,F,F,
T,T,T,T,X,X,T,F,T,X,X,X,F,T,
T,T,T,T,X,X,T,F,T,X,X,X,T,X,
T,T,T,T,X,X,T,T,X,F,X,X,X,X,
T,T,T,T,X,X,T,T,X,T,F,F,X,X,
T,T,T,T,X,X,T,T,X,T,F,T,F,F,
T,T,T,T,X,X,T,T,X,T,F,T,F,T,
T,T,T,T,X,X,T,T,X,T,F,T,T,X,
T,T,T,T,X,X,T,T,X,T,T,X,X,X,
